idno;netustm;ppltrst;vote;prtvtddk;lvpntyr;tygrtr;gndr;yrbrn;edlvddk;eduyrs;wkhct;wkhtot;grspnum;frlgrsp;inwtm
12355;120,0;5;Yes;Socialdemokratiet - The Social democrats;1987;60;Male;1963;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;38;37;36000;38000;48,0
16357;488,0;5;Yes;Dansk Folkeparti - Danish People's Party;2013;50;Male;1991;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;4;37;37;40000;9999999;50,0
17504;210,0;4;Yes;Dansk Folkeparti - Danish People's Party;2001;45;Female;1984;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;NA;10;9999999;9999999;51,0
19970;240,0;9;Yes;Liberal Alliance - Liberal Alliance;1984;60;Female;1966;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;21;36;36;85000;9999999;42,0
20724;60,0;5;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1981;Never too young;Male;1958;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;40;28000;34000;65,0
22248;121,0;9;Yes;Socialdemokratiet - The Social democrats;1970;Never too young;Female;1950;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;19;37;37;9999999;9999999;62,0
24928;120,0;8;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1984;Should never retire permanently;Male;1965;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;19;NA;80;50000;9999999;77,0
27000;390,0;5;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1971;65;Male;1956;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;12;NA;60;90000;9999999;51,0
27211;120,0;7;Yes;Kristendemokraterne - Christian Democrats;1983;60;Male;1969;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;16;15;17;26000;9999999;99,0
27650;60,0;7;Yes;NA;1993;NA;Male;1967;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;37;7000;9999999;48,0
28202;60,0;7;Yes;Det Radikale Venstre - The Radical Liberal Party;2007;60;Male;1990;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;17;37;45;28000;35000;56,0
29156;NA,0;8;Yes;Dansk Folkeparti - Danish People's Party;1944;60;Male;1932;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;60;60;9999999;9999999;88,0
29471;240,0;8;Yes;Det Radikale Venstre - The Radical Liberal Party;1984;50;Male;1966;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;16;42;42;40000;45000;46,0
31317;60,0;6;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1970;62;Female;1948;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;5;37;37;9999999;9999999;68,0
32191;90,0;8;Yes;Socialdemokratiet - The Social democrats;1964;60;Female;1956;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;16;37;37;34500;40000;80,0
33174;45,0;9;Yes;Alternativet - The Alternative;1970;55;Male;1949;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;18;30;32;9999999;9999999;50,0
33307;720,0;7;No;NA;2013;48;Male;1991;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;17;20;20;9999999;9999999;68,0
34031;121,0;8;Yes;Det Konservative Folkeparti - Conservative People's Party;2007;64;Male;1987;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;NA;50;9999999;9999999;111,0
34446;90,0;8;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1998;60;Female;1975;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;15;37;37;25000;30000;59,0
34955;240,0;6;Yes;Socialdemokratiet - The Social democrats;1980;50;Female;1963;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;15;37;37;33000;9999999;61,0
38221;240,0;7;Yes;Socialdemokratiet - The Social democrats;2000;45;Female;1982;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;15;30;30;24000;35000;61,0
38848;120,0;9;Yes;Socialdemokratiet - The Social democrats;2001;60;Female;1979;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;15;30;32;21000;25000;69,0
38971;NA,0;6;Yes;Dansk Folkeparti - Danish People's Party;1997;60;Male;1980;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;55;37;44000;9999999;58,0
39619;45,0;8;Yes;Socialdemokratiet - The Social democrats;1963;50;Male;1942;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;37;37;9999999;9999999;57,0
40317;120,0;6;Yes;Det Konservative Folkeparti - Conservative People's Party;2011;55;Male;1989;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;40;6000;9999999;54,0
40476;390,0;7;Yes;Other;2017;70;Female;1998;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;13;30;32;9999999;9999999;81,0
42274;660,0;8;Yes;NA;1972;60;Female;1955;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;15;37;40;38500;42000;79,0
44490;170,0;9;Yes;Det Radikale Venstre - The Radical Liberal Party;2001;65;Female;1982;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;21;37;40;42000;9999999;39,0
46190;360,0;6;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1987;52;Male;1967;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;42;37000;9999999;59,0
46404;300,0;8;No;NA;1984;50;Male;1965;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;14;37;45;92000;9999999;42,0
46606;300,0;8;Yes;Alternativet - The Alternative;2014;60;Female;1993;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;16;8;20;10000;9999999;66,0
47316;720,0;7;No;NA;2018;65;Female;1998;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;13;8;30;9999999;9999999;49,0
48773;180,0;9;Yes;Socialdemokratiet - The Social democrats;1970;50;Female;1951;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;21;37;41;9999999;9999999;83,0
49450;180,0;8;Yes;SF Socialistisk Folkeparti - Socialist People's Party;2015;60;Male;1987;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;18;37;37;24000;9999999;48,0
50526;NA,0;7;Yes;NA;1957;Never too young;Female;1942;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;10;37;37;9999999;9999999;92,0
52559;480,0;6;No;NA;Still in parental home, never left 2 months;40;Female;2001;Folkeskole 9.-10. klasse;10;3;3;9999999;9999999;43,0
53574;480,0;9;Yes;Socialdemokratiet - The Social democrats;2014;55;Male;1993;Universitetsbachelor. 1. del af kandidatuddannelse;17;15;18;14000;9999999;60,0
55481;540,0;8;Yes;NA;2002;58;Female;1984;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;19;37;37;39000;9999999;71,0
56690;62,0;2;Yes;Det Konservative Folkeparti - Conservative People's Party;1960;60;Female;1940;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;16;27;35;9999999;9999999;77,0
58403;270,0;8;Yes;Alternativet - The Alternative;1976;NA;Male;1955;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;5;37;37;450000;9999999;86,0
59410;10,0;8;Yes;Dansk Folkeparti - Danish People's Party;1986;60;Male;1968;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;15;37;40;30000;33000;66,0
59841;45,0;8;Yes;Alternativet - The Alternative;1989;55;Female;1972;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;24;37;37;45000;9999999;149,0
61995;30,0;6;Yes;Socialdemokratiet - The Social democrats;1996;60;Female;1977;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;16;30;34;19500;9999999;50,0
62055;NA,0;2;No;NA;NA;Never too young;Female;1935;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;3;25;25;9999999;9999999;57,0
62232;60,0;5;Yes;Dansk Folkeparti - Danish People's Party;1957;63;Male;1942;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;10;NA;NA;9999999;9999999;65,0
62601;150,0;8;Yes;Socialdemokratiet - The Social democrats;1981;61;Female;1961;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;16;33;33;28000;35000;72,0
63738;121,0;5;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;2000;66;Male;1982;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;80;80;45000;9999999;59,0
64617;150,0;8;Yes;Socialdemokratiet - The Social democrats;Still in parental home, never left 2 months;50;Female;1991;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;37;9999999;9999999;61,0
66405;60,0;7;Yes;Socialdemokratiet - The Social democrats;1969;62;Male;1949;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;11;37;50;9999999;9999999;70,0
66500;122,0;Most people can be trusted;Yes;Socialdemokratiet - The Social democrats;1996;NA;Male;1980;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;10;36;36;31000;9999999;54,0
66561;30,0;8;Yes;Socialdemokratiet - The Social democrats;1976;Never too young;Male;1957;Folkeskole 9.-10. klasse;9;37;37;35000;38000;35,0
68174;NA,0;7;Yes;Dansk Folkeparti - Danish People's Party;1953;60;Male;1934;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;11;37;37;9999999;9999999;78,0
68781;150,0;9;Yes;SF Socialistisk Folkeparti - Socialist People's Party;1962;Never too young;Female;1945;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;20;NA;NA;9999999;9999999;87,0
69758;45,0;3;Not eligible to vote;NA;1992;NA;Male;1967;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;20;37;40;34000;40000;64,0
75245;240,0;7;Yes;Dansk Folkeparti - Danish People's Party;2008;60;Male;1985;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;17;NA;40;50000;9999999;62,0
75287;120,0;8;Yes;NA;2018;65;Male;1995;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;16;8;8;9999999;9999999;53,0
75328;120,0;8;Yes;Det Radikale Venstre - The Radical Liberal Party;1997;58;Female;1978;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;9;37;39;9999999;9999999;72,0
75393;30,0;9;Yes;Liberal Alliance - Liberal Alliance;1965;60;Male;1941;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;17;37;60;9999999;9999999;81,0
75408;480,0;7;No;NA;2017;60;Male;2001;Folkeskole 9.-10. klasse;11;8;8;0;9999999;58,0
75478;300,0;7;Not eligible to vote;NA;Still in parental home, never left 2 months;55;Female;1998;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;13;15;15;6000;8000;54,0
75552;300,0;6;No;NA;2011;40;Male;1989;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;15;37;55;35000;9999999;48,0
75748;720,0;7;Yes;Socialdemokratiet - The Social democrats;1987;60;Female;1973;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;4;37;37;33000;9999999;40,0
75839;30,0;3;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1958;64;Male;1938;Folkeskole 9.-10. klasse;15;40;40;9999999;9999999;48,0
75850;60,0;9;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1994;50;Female;1974;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;5;37;40;385000;42000;53,0
75969;180,0;6;No;NA;2010;45;Female;2003;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;37;42;18000;24000;60,0
75971;90,0;7;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1978;60;Male;1953;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;15;18;18;250000;9999999;50,0
76109;240,0;5;Yes;Dansk Folkeparti - Danish People's Party;1983;65;Male;1967;Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann;11;37;37;280000;9999999;50,0
76113;600,0;6;Yes;Dansk Folkeparti - Danish People's Party;Still in parental home, never left 2 months;55;Female;1995;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;18;NA;7;9999999;9999999;52,0
76127;420,0;7;Not eligible to vote;NA;Still in parental home, never left 2 months;45;Female;2002;Folkeskole 9.-10. klasse;9;12;12;3700;9999999;51,0
76225;NA,0;7;No;NA;Still in parental home, never left 2 months;17;Male;2001;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;10;10;10;2000;9999999;52,0
76259;420,0;5;Not eligible to vote;NA;1969;NA;Male;1950;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;20;8;8;60000;9999999;134,0
76452;210,0;7;Not eligible to vote;NA;2018;50;Female;1997;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;14;34;34;5000;9999999;60,0
76553;244,0;6;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1973;60;Male;1951;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;18;37;37;9999999;9999999;45,0
76667;120,0;8;Yes;Dansk Folkeparti - Danish People's Party;1964;60;Male;1944;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;11;7;35;9999999;9999999;53,0
76690;60,0;9;Yes;SF Socialistisk Folkeparti - Socialist People's Party;1963;NA;Male;1943;Universitetsbachelor. 1. del af kandidatuddannelse;8;37;37;9999999;9999999;72,0
76768;45,0;6;Yes;Socialdemokratiet - The Social democrats;1968;67;Female;1948;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;15;37;45;9999999;9999999;55,0
76803;600,0;8;Not eligible to vote;NA;Still in parental home, never left 2 months;NA;Male;2002;Folkeskole 9.-10. klasse;10;NA;NA;9999999;9999999;47,0
76848;30,0;5;Yes;Socialdemokratiet - The Social democrats;1976;65;Male;1960;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;18;37;37;27000;35000;69,0
76854;120,0;8;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1971;60;Male;1953;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;15;37;55;9999999;9999999;52,0
76863;300,0;4;No;NA;2018;55;Male;1997;Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann;NA;37;37;9999999;9999999;35,0
76958;90,0;6;Yes;Det Radikale Venstre - The Radical Liberal Party;1982;60;Male;1959;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;15;37;42;9999999;9999999;51,0
76965;30,0;8;Yes;Socialdemokratiet - The Social democrats;1962;NA;Male;1940;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;18;37;37;9999999;9999999;78,0
77062;60,0;9;Yes;NA;1966;NA;Female;1947;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;20;37;37;9999999;9999999;74,0
77093;61,0;8;Yes;Det Konservative Folkeparti - Conservative People's Party;1983;67;Male;1966;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;16;37;45;62000;9999999;63,0
77138;360,0;8;Yes;Liberal Alliance - Liberal Alliance;1993;60;Male;1976;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;19;38;45;1500000;9999999;69,0
77153;240,0;8;Yes;Liberal Alliance - Liberal Alliance;2000;60;Female;1981;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;4;37;40;35000;40000;76,0
77167;120,0;9;Yes;Socialdemokratiet - The Social democrats;1982;50;Male;1963;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;20;23;28000;9999999;66,0
77198;48,0;8;Yes;Socialdemokratiet - The Social democrats;1966;62;Female;1949;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;15;37;37;9999999;9999999;50,0
77275;600,0;8;Yes;Socialdemokratiet - The Social democrats;2001;50;Male;1979;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;18;37;40;51000;9999999;66,0
77284;30,0;7;No;NA;1944;50;Male;1929;Folkeskole 6.-8. klasse;1;37;42;9999999;9999999;102,0
77301;NA,0;9;Yes;Det Konservative Folkeparti - Conservative People's Party;1975;50;Female;1958;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;30;40;30000;35000;51,0
77371;61,0;8;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1986;65;Male;1964;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;20;37;45;888;9999999;78,0
77400;480,0;9;Yes;NA;1981;Never too young;Female;1963;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;37;28000;29000;76,0
77420;120,0;8;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1989;50;Female;1971;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;2;12;12;21000;9999999;47,0
77445;240,0;4;Yes;Dansk Folkeparti - Danish People's Party;1978;50;Female;1960;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;37;24000;32000;41,0
77627;180,0;7;Yes;Liberal Alliance - Liberal Alliance;2008;59;Male;1986;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;16;37;43;33000;38000;62,0
77693;60,0;8;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1978;Never too young;Male;1962;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;14;37;37;28000;9999999;40,0
77736;240,0;8;Yes;Alternativet - The Alternative;1998;50;Female;1983;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;17;12;12;9999999;9999999;77,0
77785;121,0;7;Yes;Dansk Folkeparti - Danish People's Party;1986;59;Male;1963;Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann;10;37;37;29000;9999999;57,0
77833;240,0;8;Yes;Dansk Folkeparti - Danish People's Party;1966;55;Female;1950;Folkeskole 6.-8. klasse;7;48;48;9999999;9999999;44,0
77940;230,0;7;Yes;Socialdemokratiet - The Social democrats;1975;Never too young;Male;1955;Folkeskole 9.-10. klasse;0;37;37;9999999;9999999;84,0
78061;60,0;9;Yes;Enhedslisten - Unity List - The Red-Green Alliance;1949;Should never be in paid work;Male;1935;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;9;37;38;9999999;9999999;59,0
78179;150,0;8;Yes;Enhedslisten - Unity List - The Red-Green Alliance;1970;65;Male;1949;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;4;10;40;9999999;9999999;50,0
78485;510,0;8;Yes;Socialdemokratiet - The Social democrats;2003;60;Female;1983;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;19;37;37;40500;9999999;61,0
78563;150,0;8;Yes;Socialdemokratiet - The Social democrats;1967;59;Male;1947;Forskeruddannelse. Ph.d., doktor;19;30;37;90000;9999999;48,0
78605;90,0;7;Yes;NA;1972;NA;Male;1952;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;17;37;40;9999999;9999999;55,0
78613;120,0;4;Yes;Socialdemokratiet - The Social democrats;1984;NA;Male;1965;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;16;16;9999999;9999999;48,0
78714;NA,0;6;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1992;17;Male;1974;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;6;37;40;30000;9999999;47,0
78728;90,0;7;Yes;Socialdemokratiet - The Social democrats;1965;40;Male;1947;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;15;35;45;9999999;9999999;71,0
78838;120,0;7;Yes;Alternativet - The Alternative;2010;55;Female;1988;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;17;37;37;26000;30000;67,0
78996;120,0;7;Yes;Socialdemokratiet - The Social democrats;1984;60;Male;1967;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;19;37;41;28000;30000;65,0
79006;660,0;8;Not eligible to vote;NA;Still in parental home, never left 2 months;60;Female;2000;Folkeskole 9.-10. klasse;10;12;12;6500;9999999;48,0
79054;120,0;9;Yes;Socialdemokratiet - The Social democrats;1997;60;Male;1976;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;17;37;50;33000;38000;54,0
79126;90,0;7;Yes;Det Radikale Venstre - The Radical Liberal Party;1961;60;Male;1930;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;23;37;37;9999999;9999999;85,0
79130;120,0;8;Yes;Socialdemokratiet - The Social democrats;1959;62;Female;1940;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;17;50;50;9999999;9999999;45,0
79296;NA,0;6;Yes;SF Socialistisk Folkeparti - Socialist People's Party;1992;60;Male;1974;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;17;41;41;30000;36000;67,0
79300;480,0;6;Not eligible to vote;NA;Still in parental home, never left 2 months;40;Male;1998;Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX;12;37;37;5500;9999999;51,0
79301;300,0;8;Yes;Det Radikale Venstre - The Radical Liberal Party;1993;60;Female;1973;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;16;37;41;37800;41000;62,0
79357;480,0;7;No;NA;Still in parental home, never left 2 months;55;Male;2000;Folkeskole 9.-10. klasse;12;10;10;9999999;9999999;57,0
79376;NA,0;6;No;NA;1978;55;Male;1959;Folkeskole 6.-8. klasse;0;37;37;9999999;9999999;47,0
79460;90,0;9;Yes;NA;1988;NA;Female;1974;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;14;32;32;28000;9999999;69,0
79520;360,0;5;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1977;50;Male;1956;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;12;37;37;44000;9999999;64,0
79533;180,0;7;Yes;Venstre, Danmarks Liberale Parti - The Liberal Party;1974;57;Female;1955;Folkeskole 9.-10. klasse;10;37;37;40000;9999999;47,0
79550;180,0;3;Yes;Enhedslisten - Unity List - The Red-Green Alliance;2016;30;Female;1997;Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann;14;30;30;18000;20000;52,0
79596;180,0;3;Yes;Dansk Folkeparti - Danish People's Party;1970;60;Male;1951;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;2;37;45;9999999;9999999;68,0
79851;210,0;3;Yes;Det Konservative Folkeparti - Conservative People's Party;1983;65;Male;1965;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;14;37;37;34000;9999999;73,0
79882;NA,0;7;Yes;Socialdemokratiet - The Social democrats;1955;25;Female;1941;Folkeskole 6.-8. klasse;0;35;35;9999999;9999999;90,0
79975;30,0;8;Yes;Kristendemokraterne - Christian Democrats;1972;67;Female;1955;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;37;37;19500;9999999;48,0
80016;150,0;7;Yes;Dansk Folkeparti - Danish People's Party;1977;60;Male;1959;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;37;55;9999999;9999999;95,0
80032;180,0;7;Yes;Alternativet - The Alternative;2006;NA;Male;1986;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;18;37;37;28000;35000;44,0
80037;366,0;1;Yes;NA;1972;NA;Female;1957;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;15;35;35;9999999;9999999;75,0
80081;60,0;4;Yes;Socialdemokratiet - The Social democrats;1990;NA;Female;1970;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;17;37;37;45000;9999999;65,0
80103;600,0;9;Not eligible to vote;NA;2004;60;Male;1984;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;16;38;41;45000;9999999;62,0
80114;240,0;8;Yes;Alternativet - The Alternative;2004;NA;Female;1984;Forskeruddannelse. Ph.d., doktor;22;37;50;35000;40000;172,0
80132;60,0;8;Yes;Det Radikale Venstre - The Radical Liberal Party;1951;NA;Male;1937;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;6;37;37;9999999;9999999;79,0
